Symbol,Expansion
TIGER_PROGRAM,LET DECLARATION_SEGMENT IN STAT_SEQ END
DECLARATION_SEGMENT,TYPE_DECLARATION_LIST VAR_DECLARATION_LIST FUNCT_DECLARATION_LIST
TYPE_DECLARATION_LIST,NULL
TYPE_DECLARATION_LIST,TYPE_DECLARATION TYPE_DECLARATION_LIST
VAR_DECLARATION_LIST,NULL
VAR_DECLARATION_LIST,VAR_DECLARATION VAR_DECLARATION_LIST
FUNCT_DECLARATION_LIST,NULL
FUNCT_DECLARATION_LIST,FUNCT_DECLARATION FUNCT_DECLARATION_LIST
TYPE_DECLARATION,TYPE ID EQ TYPE SEMI
TYPE,TYPE_ID
TYPE,ARRAY LBRACK INTLIT RBRACK OF TYPE_ID
TYPE,ID
TYPE_ID,INTTYPEID
TYPE_ID,FLOATTYPEID
VAR_DECLARATION,VAR ID_LIST COLON TYPE OPTIONAL_INIT SEMI
ID_LIST,ID ID_LIST_TAIL
ID_LIST_TAIL,COMMA ID_LIST
ID_LIST_TAIL,NULL
OPTIONAL_INIT,NULL
OPTIONAL_INIT,ASSIGN CONST
FUNCT_DECLARATION,FUNC ID LPAREN PARAM_LIST RPAREN RET_TYPE BEGIN STAT_SEQ END SEMI
PARAM_LIST,NULL
PARAM_LIST,PARAM PARAM_LIST_TAIL
PARAM_LIST_TAIL,NULL
PARAM_LIST_TAIL,COMMA PARAM PARAM_LIST_TAIL
RET_TYPE,NULL
RET_TYPE,COLON TYPE
PARAM,ID COLON TYPE
STAT_SEQ,STAT STAT_SEQ_TAIL
STAT_SEQ_TAIL,NULL
STAT_SEQ_TAIL,STAT_SEQ
STAT,IF EXPR THEN STAT_SEQ ELSE STAT_SEQ ENDIF SEMI
STAT,WHILE EXPR DO STAT_SEQ ENDDO SEMI
STAT,FOR ID ASSIGN EXPR TO EXPR DO STAT_SEQ ENDDO SEMI
STAT,BREAK SEMI
STAT,RETURN EXPR SEMI
STAT,LET DECLARATION_SEGMENT IN STAT_SEQ END
STAT,LVALUE STAT_ID
STAT_ID,LPAREN EXPR_LIST RPAREN SEMI
STAT_ID,ASSIGN STAT_TAIL SEMI
STAT_TAIL,EXPR_NOT_STARTING_WITH_ID
STAT_TAIL,ID EXPR_OR_FUNC_TAIL
EXPR_NOT_STARTING_WITH_ID,NOT_ID_EXPR_START C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
NOT_ID_EXPR_START,CONST
NOT_ID_EXPR_START,LPAREN EXPR RPAREN
EXPR_OR_FUNC_TAIL,LPAREN EXPR_LIST RPAREN
EXPR_OR_FUNC_TAIL,LVALUE_TAIL C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
EXPR,A_TERM EXPR_TAIL
EXPR_TAIL,AND A_TERM
EXPR_TAIL,OR A_TERM
EXPR_TAIL,NULL
A_TERM,B_TERM A_TERM_TAIL
A_TERM_TAIL,EQ B_TERM
A_TERM_TAIL,NEQ B_TERM
A_TERM_TAIL,LESSER B_TERM
A_TERM_TAIL,GREATER B_TERM
A_TERM_TAIL,LESSEREQ B_TERM
A_TERM_TAIL,GREATEREQ B_TERM
A_TERM_TAIL,NULL
B_TERM,C_TERM B_TERM_TAIL
B_TERM_TAIL,PLUS C_TERM
B_TERM_TAIL,MINUS C_TERM
B_TERM_TAIL,NULL
C_TERM,FACTOR C_TERM_TAIL
C_TERM_TAIL,MULT FACTOR
C_TERM_TAIL,DIV FACTOR
C_TERM_TAIL,NULL
FACTOR,CONST
FACTOR,LVALUE
FACTOR,LPAREN EXPR RPAREN
CONST,INTLIT
CONST,FLOATLIT
EXPR_LIST,NULL
EXPR_LIST,EXPR EXPR_LIST_TAIL
EXPR_LIST_TAIL,COMMA EXPR EXPR_LIST_TAIL
EXPR_LIST_TAIL,NULL
LVALUE,ID LVALUE_TAIL
LVALUE_TAIL,NULL
LVALUE_TAIL,LBRACK EXPR RBRACK
