focus,lookahead,ruleToUse
STAT_ID,ASSIGN,ASSIGN STAT_TAIL SEMI
STAT_ID,LPAREN,LPAREN EXPR_LIST RPAREN SEMI
C_TERM,INTLIT,FACTOR C_TERM_TAIL
C_TERM,ID,FACTOR C_TERM_TAIL
C_TERM,LPAREN,FACTOR C_TERM_TAIL
C_TERM,FLOATLIT,FACTOR C_TERM_TAIL
EXPR_LIST_TAIL,COMMA,COMMA EXPR EXPR_LIST_TAIL
EXPR_LIST_TAIL,NULL,NULL
EXPR_LIST_TAIL,RPAREN,NULL
PARAM_LIST,NULL,NULL
PARAM_LIST,ID,PARAM PARAM_LIST_TAIL
PARAM_LIST,RPAREN,NULL
B_TERM_TAIL,DO,NULL
B_TERM_TAIL,THEN,NULL
B_TERM_TAIL,COMMA,NULL
B_TERM_TAIL,NEQ,NULL
B_TERM_TAIL,AND,NULL
B_TERM_TAIL,PLUS,PLUS C_TERM
B_TERM_TAIL,LESSER,NULL
B_TERM_TAIL,MINUS,MINUS C_TERM
B_TERM_TAIL,OR,NULL
B_TERM_TAIL,TO,NULL
B_TERM_TAIL,RBRACK,NULL
B_TERM_TAIL,GREATEREQ,NULL
B_TERM_TAIL,NULL,NULL
B_TERM_TAIL,LESSEREQ,NULL
B_TERM_TAIL,EQ,NULL
B_TERM_TAIL,SEMI,NULL
B_TERM_TAIL,RPAREN,NULL
B_TERM_TAIL,GREATER,NULL
EXPR_NOT_STARTING_WITH_ID,INTLIT,NOT_ID_EXPR_START C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
EXPR_NOT_STARTING_WITH_ID,LPAREN,NOT_ID_EXPR_START C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
EXPR_NOT_STARTING_WITH_ID,FLOATLIT,NOT_ID_EXPR_START C_TERM_TAIL B_TERM_TAIL A_TERM_TAIL EXPR_TAIL
B_TERM,INTLIT,C_TERM B_TERM_TAIL
B_TERM,ID,C_TERM B_TERM_TAIL
B_TERM,LPAREN,C_TERM B_TERM_TAIL
B_TERM,FLOATLIT,C_TERM B_TERM_TAIL
C_TERM_TAIL,DO,NULL
C_TERM_TAIL,THEN,NULL
C_TERM_TAIL,COMMA,NULL
C_TERM_TAIL,NEQ,NULL
C_TERM_TAIL,AND,NULL
C_TERM_TAIL,PLUS,NULL
C_TERM_TAIL,LESSER,NULL
C_TERM_TAIL,MINUS,NULL
C_TERM_TAIL,DIV,DIV FACTOR
C_TERM_TAIL,OR,NULL
C_TERM_TAIL,TO,NULL
C_TERM_TAIL,RBRACK,NULL
C_TERM_TAIL,GREATEREQ,NULL
C_TERM_TAIL,NULL,NULL
C_TERM_TAIL,LESSEREQ,NULL
C_TERM_TAIL,MULT,MULT FACTOR
C_TERM_TAIL,EQ,NULL
C_TERM_TAIL,SEMI,NULL
C_TERM_TAIL,RPAREN,NULL
C_TERM_TAIL,GREATER,NULL
